datetime,laz_elev_mean,laz_elev_std,laz_elev_diff
1/29/2024 16:00,-2.636110918,0.16622084,-0.001069765
1/29/2024 17:00,-2.637111633,0.16716886,-0.001000716
1/29/2024 18:00,-2.637651762,0.167033892,-0.000540128
1/29/2024 19:00,-2.638618199,0.167175347,-0.000966437
1/30/2024 0:00,-2.645804005,0.168142443,-0.007185806
1/30/2024 8:00,-2.651056504,0.168368573,-0.005252498
2/1/2024 13:42,-2.676466072,0.176180623,-0.025409568
2/2/2024 13:01,-2.568963093,0.143327707,0.107502979
2/3/2024 13:01,-2.498414652,0.124820614,0.07054844
2/4/2024 13:00,-2.487786139,0.126283112,0.010628514
3/10/2024 13:01,-1.628627711,0.123795556,0.859158428
3/11/2024 13:00,-1.651295642,0.120483948,-0.022667931
3/11/2024 15:08,-1.628235117,0.114950325,0.023060524
3/11/2024 16:00,-1.625800692,0.106649668,0.002434426
3/11/2024 20:00,-1.648202085,0.118783399,-0.022401393
3/12/2024 20:00,-1.51738674,0.079936398,0.130815345
3/16/2024 20:01,-1.591334736,0.0939582,-0.073947996
3/17/2024 20:00,-1.645343045,0.097423489,-0.054008308
3/18/2024 20:01,-1.705329948,0.101056976,-0.059986903
3/19/2024 19:17,-1.73665366,0.077882719,-0.031323712
3/19/2024 20:01,-1.758872676,0.082076166,-0.022219016
3/20/2024 20:01,-1.835875659,0.11208691,-0.077002983
3/21/2024 20:00,-1.890042787,0.110500864,-0.054167127
3/22/2024 20:00,-1.923612246,0.113393718,-0.03356946
3/23/2024 20:00,-1.792779698,0.09906643,0.130832548
3/24/2024 20:00,-1.820486234,0.11219126,-0.027706536
3/25/2024 20:00,-1.79219735,0.10663387,0.028288884
3/26/2024 20:00,-1.753181384,0.080626358,0.039015966
3/27/2024 20:00,-1.73121355,0.1044054,0.021967834
3/28/2024 20:00,-1.529573722,0.074340167,0.201639828
3/29/2024 20:00,-1.580997042,0.09884235,-0.051423321
3/30/2024 20:00,-1.641630045,0.100456658,-0.060633003
3/31/2024 20:00,-1.687793869,0.1043436,-0.046163824
4/1/2024 20:00,-1.733286516,0.103161142,-0.045492647
4/2/2024 20:00,-1.793079513,0.107539318,-0.059792997
4/3/2024 20:00,-1.855699671,0.107561482,-0.062620158
4/4/2024 20:00,-1.77690866,0.108838149,0.078791011
4/5/2024 20:00,-1.677087727,0.061321755,0.099820933
4/6/2024 20:00,-1.493812331,0.093278842,0.183275396
4/7/2024 20:00,-1.515585262,0.095165282,-0.021772931
4/8/2024 20:00,-1.549812156,0.095354414,-0.034226893
4/9/2024 20:00,-1.613802047,0.094230483,-0.063989891
4/10/2024 20:00,-1.677288921,0.099036903,-0.063486874
4/11/2024 20:00,-1.745253232,0.104265533,-0.067964311
4/12/2024 20:00,-1.801658308,0.113649598,-0.056405075
4/13/2024 20:00,-1.868754633,0.121789316,-0.067096326
4/14/2024 20:00,-1.930063025,0.128913002,-0.061308392
4/15/2024 20:00,-1.966344154,0.1368599,-0.036281129
4/16/2024 20:01,-1.989573477,0.138488594,-0.023229323
4/17/2024 20:00,-1.990426284,0.140297566,-0.000852807
4/18/2024 20:01,-2.008069831,0.14155183,-0.017643547
4/19/2024 20:00,-2.026815997,0.145047105,-0.018746167
4/20/2024 20:00,-2.06492658,0.15020438,-0.038110583
4/21/2024 20:00,-2.105623141,0.154392637,-0.040696561
4/22/2024 20:00,-2.131847146,0.15819955,-0.026224005
4/23/2024 20:00,-2.177225399,0.164683651,-0.045378252
4/24/2024 20:00,-2.227470508,0.167993396,-0.05024511
4/25/2024 20:00,-2.273797988,0.169631813,-0.046327479
4/26/2024 20:00,-2.295301227,0.172872551,-0.021503239
4/29/2024 20:00,-2.380717706,0.174761456,-0.085416479
5/2/2024 20:00,-2.27289309,0.16895761,0.107824616
5/4/2024 20:00,-2.316137007,0.190853055,-0.043243917
5/7/2024 20:00,-1.950440685,0.10683374,0.365696322
5/8/2024 20:00,-2.013465997,0.162809447,-0.063025312
5/9/2024 20:00,-2.14072911,0.176816012,-0.127263113
5/11/2024 20:00,-2.340571018,0.207744188,-0.199841908
5/12/2024 20:00,-2.447342993,0.222416896,-0.106771975
5/13/2024 20:00,-2.531844099,0.22248043,-0.084501106
5/14/2024 20:00,-2.589117133,0.227811584,-0.057273034
5/15/2024 20:00,-2.662953069,0.230405344,-0.073835937
5/16/2024 20:00,-2.747919129,0.238268695,-0.084966059
5/17/2024 20:00,-2.828804752,0.242570029,-0.080885624
5/18/2024 20:00,-2.887660892,0.244171645,-0.058856139
5/20/2024 20:00,-2.968384926,0.236018614,-0.080724035
5/22/2024 20:00,-2.814835456,0.145561811,0.15354947
5/23/2024 20:00,-2.901927546,0.233166049,-0.087092089
5/24/2024 20:01,-2.958056479,0.238578781,-0.056128933
5/26/2024 20:00,-3.032551736,0.247579137,-0.074495257
5/27/2024 20:00,-3.103509769,0.24853741,-0.070958033
5/28/2024 20:00,-3.174523515,0.252628275,-0.071013746
5/29/2024 20:00,-3.243694936,0.251944038,-0.069171421
5/30/2024 20:00,-3.289541625,0.254574483,-0.045846689
5/31/2024 20:00,-3.353078865,0.255096605,-0.06353724
6/1/2024 20:00,-3.423555256,0.263191855,-0.070476391
6/2/2024 20:00,-3.481661083,0.263224371,-0.058105827
6/3/2024 20:00,-3.543127069,0.23164692,-0.061465986
6/4/2024 20:00,-3.611570144,0.272503737,-0.068443074
